review_id,text,stars
es_0681065,"Pésimo

Después de instalar miles de protectores este deja muchísimo que desear. El protector es bastante más pequeño que la pantalla. Al ser una pantalla 2,5D y el protector de cristal plano las esquinas del mismo no llegan a pegar, por ende, a los 3 minutos la mitad del protector está ""al aire"". Producto nada recomendado y de una calidad deplorable.",1
es_0694256,"Rapida carga y práctico

Esta muy bien ver como va cargada la batería y su carga es rápida.",5
es_0555296,"Lacado de mala calidad

Difícil montaje y mal lacada, tiene manchas amarillas y se nota un lacado deficiente. Ofrecen sustituir las piezas afectadas pero desmonta tu otra vez todo y vuelve a montar....",2
es_0129902,"Mala compra porque no se puede vender una cosa asin desde amazon

El embalaje vergonzoso,todo arrugado,la presentación malisima,mal cortado,buscar otro cuadro porque es una mala compra.Los clientes no nos merecemos un producto asin",1
es_0987722,"Por qué no calientan más?

Muy bien el envío, el diseño y el funcionamiento. Pero como con todos los calentadores de leche, me pregunto si a nadie le gusta el capuchino caliente, porque la leche está templada: la tengo que calentar una vez ha hecho la espuma, porque, de modo contrario, es como tomar un biberón de bebé. Este es mi tercer espumador y todos tienen este problema... eso sí, ninguno es tan bonito como el de WMF.",3
es_0780407,"DETALLE BEBE NIÑO

MUY CHULO Y BONITO PARA UN DETALLE",4
es_0575668,"Sigo esperando el pedido

Sigo esperando el pedido,ya que no me ha llegado.La primera vez que me pasa en Amazon. Seguiré esperando a ver si llega.",1
es_0912464,"precio calidad

buenas tardes??? Por el precio que tiene esta bastante bien...sobre todo si eres como yo muy cafetera.",3
es_0471216,"Muy malo

Espantosamente lento, testeado en equipos Windows y Mac y puede tardar 6-10 minutos en copiar 3 GB, no copia de forma continua sino de a pasos.",1
es_0290024,"Control de calidad pésimo

El cargador oficial y original de Panasonic para estas baterías es claro respecto a la carga de las baterías: - Led fijo: Cargando la batería - Led apagado: Batería cargada - Led parpadeando: Problemas con la batería (desde la temperatura hasta problemas con los contactos) En el caso de este pack que he comprado, una de las baterías se carga correctamente, como la original de Panasonic, pero al intentar cargar la otra se queda indefinidamente el led parpadeando. No puedo arriesgarme a usar una batería así en mi cámara. Esto no debería suceder si la empresa ha realizado un test de calidad antes de vender el producto.",2
es_0784481,"producto bien, envío pésimo.

El producto en si, perfecto. El paquete me llego con el precinto de amazon roto y cerrado con cinta de la empresa de mensajería MRV",2
es_0093527,"Ufffff.

No ajusta bien se deformó al rato.",1
es_0715135,"No cumple expectativas

No me ha gustado nada el movil no me lo reconoce",1
es_0140541,"increible

una vez instalado es perfecto",4
es_0118518,"Correcto

Buen producto, aunque encuentro que la cuchilla para ser tan pequeñita es cara para adquirir recambios.",4
es_0827171,"Probar

Siempre es mejor probarlas antes",3
es_0708075,"Calidad

Buen producto y muy bien rematado , ha echo que cambie por completo la apariencia... Muy contento",4
es_0630459,"Decepcionada

Los colores de las correas son muy bonitos pero no son igual de comfortables o suave que la original negra que trae el reloj",2
es_0491674,"No poner nunca al máximo recomendación del fabricante.

Es útil para cacharros que no soporta la placa de inducción pero se pierde rendimiento y tiempo de cocción. Una alternativa hasta ir cambiando el ajuar de la cocina. Ponerlo al máximo o en vacío puede dañar la vitro sólo hay que tener esa precaución.",4
es_0868755,"Batería OK, herramientas MALÍSIMAS

Las herramientas que vienen, no son útiles, resistencia 0, tuve que improvisar para poder cambiar la bateria",4
es_0647317,"Mando TV

Por supuesto q hace su función. Es un poco plásticoso y no tiene pinta de durar mucho. Pero funciona correctamente.",3
es_0984603,"Defraudada

Mi hija se ha quedado muy defraudada ya que la muñequita y sus vestidos han salido descoloridos. Me parece un fraude ya que es carísima!!!",1
es_0971886,"Un mes esperando y nunca vino

Después de un mes, supuestamente enviado, pregunté y, lo solucionaron cancelando el pedido. Un regalo fastidiado sin tiempo de reacción.",1
es_0460221,"NO HE RECIBIDO EL PRODUCTO!

NO HE RECIBIDO EL PRODUCTO!!! LLEVO 5 EMAILS Y NADA, NI UNA CONTESTACIÓN. UNA VERGÜENZA!",1
es_0881107,"Cumple con su funcion

Correcto, sirve perfectamente para sustituir el adaptador de un disco duro externo de 2TB que era el propósito de la compra.",4
es_0841507,"Perfecto

Perfecto, pero no lleva cortapatillas",4
es_0824187,"Divertido y entretenido

Genial para aprender las formas",5
es_0216916,"Suavidad

Es un buen cubo,viene lubricado y después de mucho uso hay que lubricarlo porque va perdiendo.",3
es_0059786,"Me ha decepcionado

Lo que no me ha gustado es que con muy poco uso, y poco, digo 4 días, ya se han fundido las luces de una de las ruedas delanteras, y se ha quitado la pintura de donde apoya el pie. Era para un niño de 3 años, y le queda un poco grande, ya que todavía no le maneja bien, de ahí su escaso uso...., me esperaba mucha más calidad dado su precio y los comentarios. Me habrá tocado el defectuoso!",2
es_0226298,"perfecto

cumple su función muy bien",5
es_0459087,"Bien pero mejorable

Siempre compro Spigen. en este caso parece que la calidad y diseño esta un poco por debajo de la media. en otras ocasiones he apreciado mas calidad",3
es_0164163,"Hace ruido.

El ruido, aunque no es mucho, que hace es suficiente para molestar a compañeros en el trabajo. Hay otros que no molestan",2
es_0749676,"No carga

Lo compre en abril y ya no me Funciona, no me carga el móvil . Dice no está cargando !!",1
es_0300983,"No compatible

La funda es muy bonita y parece de buena calidad pero me levanta el protector de vidrio que cubre la pantalla entera y no hay manera. Una pena pero mal diseñado porque otras fundas no lo hacen",2
es_0429790,"NO apura

La tuve que devolver porque no apura lo suficiente",2
es_0947971,"No pega bien

Se despegan, la verdad que no sirven para nada",2
es_0192012,"Almohada bastante dura

Esta almohada me resulta muy dura y a los dos días me dolían las cervicales. He perdido la fe en encontrar almohadas cervicales blandas. Tuve la cervical pikolin firmeza baja. Era una maravilla, ya no la fabrican",1
es_0337141,"Entretenido

Libro interesante, con poemas y adivinanzas para los más pequeños",4
es_0537151,"Buen vendedor

Excelente para el niño, i muy buena comunicacion com el vendedor. Recomendado",5
es_0070629,"Mala compra

No funcionan del todo bien en mi placa de inducción. Siempre tengo que ponerlas en el fogón más pequeño. Tengo sartenes de otras marcas como Magefesa que funcionan mucho mejor.",1
es_0702623,"Menos que más

Una vez en agua y pasados unos días, la flor continúa medio seca... De tamaño mini",2
es_0814546,"Demasiado fino

La calidad es muy mala",2
es_0395415,"termometro para niños no muy fiable

no he legado a utilizarlo mucho por que me variaba las mediciones",3
es_0277501,"BUEN PRODUCTO

Buena relación calidad precio, ambas pulseras con diseño bonito, se ajustan a la muñeca perfectamente debido a sus 2 broches.",4
es_0556249,"No me gustó muncho

No encaja bien el teléfono sequedad saliendo todo rato",1
es_0520097,"Poco uso se le ha dado

La compré por encargo por un amigo. Según me dijo no lo ha usado mucho. Pero al parecer funciona bien.",5
es_0559788,"Es falso que carga 24V

Carga bien un movil. Es dado que carga 24V. Llega a 18 y no se con que potencia. No pesa mucho. Fácil de transportar",3
es_0045492,"Realiza su función

Realiza su función correctamente con Amazon FireTV. No aparecen todas las localidades correctamente. En general sufucientemente satisfecho con él producto.",3
es_0467972,"Producto ok envio ko

Producto perfecto pero entrega desastrosa, me garantizaban la entrega en 1 día, lo compre por que era un regalo y tardo 4 días en llegar",3
es_0035282,"Para diversas edades

Lo compré para un niño de 4 años pero sorprendentemente a quien más le ha gustado es a su hermano de año y medio. La relación calidad-precio no está mal. Lo volvería a comprar",4
es_0475801,"Recreación maravillosa.

Para saber o introducirse en la época de ese gran personaje histórico que fue Alejandro Magno.",4
es_0036752,"El precio

Vino solo un patín pero reclame y me lo arreglaron enseguida",3
es_0973860,"Indignado

Un timo son pequeños y ni siquiera me ha llegado el color que quería que era el blanco me han metido dos negros (pares) y no han metido el blanco",2
es_0188301,"Muy malas resistencias.

El equipo en si está bien, pero las resistencias son muy, muy malas, no duran nada, se queman en muy poco tiempo, al vaporizar el sabor no se siente casi nada y no generan una buena cantidad de vapor",2
es_0848292,"Mecano

Hola buenas tardes,la semana que lo pedí estaba muy contento pero me a decepcionado un poco enseguida se rompió, si.",5
es_0309022,"Ideales

Era lo que estaba buscando para mi salon, son cómodas y aguantan bastante. Son fáciles de limpiar. Buena relacion calidad-precio",4
es_0129210,"Medias compresivas fáciles de poner

Las compre para mi padre, tiene movilidad reducida y se le hinchaban los pies, pero se le hicieron pliegues. Para una persona que se mueva más y se las estire cuando se forma un pliegue supongo que serán estupendas.",2
es_0907680,"no me sirve

necesitaba que las antorchas estuviesen encendidas y se apagan a los dos minutos no me sirve para lo que lo queria",2
es_0770810,"Muy práctico y cómodo

Todo bien, el pedido llegó el día marcado, es de excelente calidad, muy práctico y cómodo. Bastante pesado o que le impide flotar. Yo recomiendo.",5
es_0010818,"Quiero contactar con em vendedor

El teléfono no va bien, quiero contactar con el vendedor para buscar solucion",1
es_0150906,"No se adapta bien al móvil.

Es un poco tosca, no se adapta del todo al móvil, para realizar la carga tienes q quitarlo de la funda.",3
es_0084309,"Para mí, perfecto

Se maneja perfectamente. Y se adapta muy bien a la mano.El último que tuve fue directamente a la basura dado que algunos fabricantes no saben que si una herramienta no es ergonómica realmente no sirve.",5
es_0585323,"Liquido vaper

El sabor es malísimo, no vale la pena comprarlo.",1
es_0271284,"Bien

Le usé para la ducha",4
es_0103381,"Bien

De momento bien. Llevo 2 meses y ningún problema.",3
es_0854093,"No queda como en la foto ni por asomo

No queda adaptado, sobraba tela por todos lados. Devolví el pedido al momento de abrirlo.",1
es_0637272,"Vino rota

Vino rota y el vendedor me abono parte del precio",2
es_0235792,"Interesante

Un libro muy interesante",5
es_0879278,"No le doy uso

Mi bebé nunca la aceptó así que la Te go guardada si utilizar.",2
es_0326547,"Bonita

Está bien acabada. La utilicé para adornar una tarta de cumpleaños y quedó muy bonita",4
es_0235372,"Artículo dañado

Deformados, en malas condiciones, el vendedor me recomienda que lo ponga derecho o que lo tire pq es barato. Eso le recomiendo yo, que me devuelva el dinero ya que es barato.",1
es_0060218,"Buena toalla

Es un toalla muy práctica, no es pequeña y tampoco grande, creo que tiene el tamaño ideal.",4
es_0534382,"Prime, más un día...

Producto prime y entrega un día más tarde de lo pactado. La atención telefónica de Amazon de 10. Por lo demás embalaje perfecto.",3
es_0322462,"El accesorio q nunca debe faltar en el garaje

Es sencillo y realmente practico. Es el accesorio ideal si quieres mantener el vehículo verdaderamente limpio. Te permite limpiar las rejillas y los más pequeños recovecos del coche de una forma fácil y eficiente",4
es_0362985,"No son para tanto....

La verdad es que suenan muy muy bien los cascos, pero a la hora de insonorizar son de lo peor....",2
es_0900050,"Tamaño pequeño

El producto funciona fenomenal, queda muy vistoso pero las bolas son pequeñas, en la foto me parecieron más grandes..",3
es_0744194,"No pegan del todo bien

Son fáciles de colocar pero con el tiempo me he fijado que se despegan y he tenido que poner otro pegamento que tampoco lo fija bien...",3
es_0092721,"Es el segundo.

He corrido más de 10 maratones. Lo he tirado, mojado, etc....muy bueno y fácil de manejar corriendo,.",5
es_0525812,"Muy buenas

Muy buenas para eliminar tus granos de forma efectiva de forma sencilla y cómoda en tu casa",5
es_0205322,"Bonito

Me he decepcionado un poco al ser completamente PLANO, pensaba que venia con mas forma pero no. de igual manera no esta mal.",3
es_0982043,"Bueno

Buena espumadera de leche, no pesa nada, literalmente. La potencia podría ser mejor pero por el precio tampoco se puede pedir mucho mas",4
es_0415730,"Correcto

Poco más que decir que es tal y como se indica en el anuncio y funciona correctamente. Quiza un poco caro por lo que son.",4
es_0763766,"Esther

Considero que la foto engaña: no trae cargadores y las balas son muy endebles... no era lo que mi hijo esperaba.",2
es_0237450,"Cristina

Todo de momento según las expectativas .Envío de acuerdo a lo estipulado y producto de momento bien. Tengo que probarlo.",5
es_0096895,"Javier

No puedo sincronizar ambos auriculares a la vez para escucharlos en estero. O se conecta uno o el otro. Pueden explicarme como hacerlo??? Gracias.",2
es_0752983,"Compra decepcionante

He tardado en dar mi opinión sobre estas zapatillas porque las he tenido guardadas sin usar hasta hace dos meses. Las he usado muy pocas horas y se han despegado los laterales de la suela de la dos zapatillas, además la suela considero que es bastante mala y se desgasta con facilidad. En resumen, son unas zapatillas nada recomendables, pues el precio quizás sea bajo pero la calidad peor. No las recomiendo. Descarto compras de esta marca.",2
es_0381177,"Decepción.

Al precio que lo compré tiene un pase. Pero no es buena opción. Excesivamente pesado, los 20.000 mAh son cuestionables y al mes de uso uno de las conexiones usb no me funcionaba.",3
es_0066428,"Funciona 100 pero incomodo

Seria increíble si el palo fuera para un adulto. La verdad que te rompes los riñones de lo bajito que es. Eso si arranca todo perfectamente.",2
es_0420339,"Perfecto

Lo usé para hacer galletas y me encanta, mis galletas salen todas iguales por fin",5
es_0862876,"Ligeras y cómodas

Están realizadas de un material muy ligero, cómodo y resistente",5
es_0275656,"Lo que esperaba.

Buen cuchillo, pequeño, corta de maravilla.",4
es_0612021,"Muy recomendable!!!!

Muuuuuuy interesante!!!! Un método que te propone aprender a cantar como sueñas, porque tienes todo dentro de tí para poder hacerlo. Por fin un método con alma.",5
es_0723508,"Muy completo

Kit muy completo. Todo en bien estado",5
es_0236396,"Corto alcance y gran tamaño, pero funciona

Cumple su misión de funcionar, pero es mas grande que el original y a veces hay que pulsarlo varias veces hasta que opera, pero... cumple su función a un precio muy inferior que los repuestos originales.",2
