review_id,text,stars
umtQi7q_tRxNHp2oKjgfmw,On the way to church and got run off the road by a car. Flat tire. Glad firestone was open on Sundays. Pretty quick service. In and out in about an hour. Customer service was fine.,4
CfiIZpEaCYYee8kiI7AFFQ,I guess the owner must have stepped in to resolve the issue's I had with PA auto sales. I'm a fair and easy going person. I just wanted fairness from day one.,4
p9zOpdf0iQl5hjfIH8gxxw,"Beautiful place!! Could use more of  a ""rooftop view"" with the city, but the place has a nice aesthetic to it already! Drinks are made with care and make you feel classy with the service they provide. Took my manager out for his birthday and he was impressed!!! 

They are lacking one start though, because it's only honest to be fair. They happened to be out of red bull, select whiskeys, and even my go to tequila don julio while we were there. I almost ended up leaving but our server suggested I try something new and we'll....I liked it! Great spot for a laid back night with friends.

Also, pricing is literally ""you pay for what you drink"". Let me explain: you want the cheap stuff? Well guess what, you'll pay the cheap price LOL. You want some quality champagne? Well, you'll pay the quality price. Our double shot whiskey on the rocks came out to only $12!",4
ltWye9Eok3jXmegVpBBdJA,"One of the best DELCO staples. Amazing pizza, not the best wings. Prices are a little steep. But overall a good pizza joint. Pickle pizza is to die for!",4
AmSaihUjOzA0vR8q8eJ7sw,"The management changed a couple of years ago, and it's just not what it used to be. The coffee options and quality are greatly reduced (and not particularly good - Philly roaster Green Street is... average, at best) and, while it still looks good, the food remains pricy. I used to go all the time, but the coffee and sandwich that I loved are no longer served there, so I don't really make it in anymore.",3
Y3R0ncjVB28uS4bVK4ueJg,Best crepes I ever tasted!!!!! While wheat and buckwheat too!!! Sooo delicious!! Breakfast crepes and sweet crepes are all amazing!!!!! Best kept secret in Wayne!!! My daughter and I love this place!!,5
0_O0prTUYH1bfrSON-IiCw,"I wanted to give a local barbecue joint a try to see how it stacks up so we tried the Philthy sampler with brisket, pulled pork and ribs per the greeter's suggestion.  Each meat selection had distinct flavors which is good.  Only drawback is I found all a bit too salty for me as I had to take sips of drink throughout my meal.  As for sides we ordered Mac and Cheese, beans, brussel sprouts and potatoes.  The Mac and Cheese was a bit bland but the beans had a nice kick of Tabasco and vinegar to it.  The brussel sprouts and potatoes were simple fare and cooked well.  The only other thing I would mention is that the sampler is supposed to feed 2-3 adults; however, it barely fed my group of 4 with three kids all under 13 and all of them not heavy eaters.",3
QJlKv1jRuDl5GCrBdsCAPg,"In June 2016, my realty company used Lincoln Heating and Air for the heating and AC inspection of the property I was buying.  The following month I had Lincoln return to do the over $2000 in repairs that was listed in the report needed to bring the system to a better working condition. The system managed another two years. The air died July 27, 2018, I immediately called Lincoln for repairs.  The technician at that time went over the repair costs of old unit versus a new system. The place was built in 1978, so I chose to update with a new more efficient furnace and AC system a week later.  At the same time,  I purchased and had installed a new water from them.  
Last fall after I started to use the furnace, I discovered a section of the duct work had opened up allowing the heat to go outside. I called as soon as I discovered it, and had a service man come out a couple of days later to repair.  At that time I was told the wrong tape was used during the installation. Repairs were made with different tape, supposedly the correct and stronger tape. 
Early February 2019, I am heading out my door and again notice a lot of heat on my front porch.  I open the door to the system and see a new gaping hole in the duct work that was repaired last fall. I immediately call the office and talk to Leslie. She checks Lincoln's records, talks to repair, and schedules for for two days later. I will admit, a system that is less than 6 months old and has had  a repair man out twice to fix faulty installation is really upsetting.  I sat down a wrote a letter to give to the repair man to pass along to the owner and repair manager. Letting them know my concerns.
I was very surprised when I open the door to the repair man and heard a familiar voice. I hear their commercials every morning on the radio. The owner has come to inspect my situation personally.  To his dismay, he tells me my install isn't up to his company's standards. We spent a good 20 minutes looking everything over and discussing my concerns. During this time I presented him with the letter I had written earlier.  The parts to solve my problem needed to be custom made.  Being a late Friday afternoon, he spent the time to get broken duct closed for the weekend. We made arrangements to have the third and ""proper"" repairs on the following Tuesday. But parts weren't ready and it was too cold outside to do the work. So we rescheduled to another Friday. I was under the impression that the owner would be at my place to personally fix my furnace correctly this time.  He came with another worker and after a while the owner left, leaving this guy to complete the job.  I also discovered the city had never inspected the original work.  Ball dropped on the end of Lincoln.  Had the inspection been done last fall, I would have known the unit was wrong. City Inspector comes out the following Friday and can't pass the heating work or the line to the AC. I had him immediately call Lincoln's owner and discuss the new issues. The owner said he would be over within the hour to see it and talk to me. Three hours later he shows up. Once again I discuss my shock and how upset I am at all the mistakes that are going on, plus the massive waste of my Fridays.  Again he asked for the opportunity to make everything correct.  Again I gave the company that chance because I have already spent over $10,000 with them in the last two years.  Yes you MUST make it perfect.
The following Friday more work was done and the inspector finally passed all the components. 
Upon the final meeting and my mounting frustrations, I request a small refund of less than 10%.  The owner agreed. One more final surprise- the bookkeeper calls a week later to tell me the refund will be divided and paid out over March and April. ""Are you kidding me"" was my reply. I paid my bill in full upon what I thought was completion last fall. 
 I have personally lost my confidence in Lincoln, and am extremely disappointed in my situation.  Like everything in life, don't just complain to others. Go to the source. I did just that, I talked to the owner several times before sitting down to write this review. I gave them many chances to make it right. There are many on Yelp who have great results, maybe I was a fluke.
Bottom line-
We can not be experts in everything, and we rely on professionals to do the best job for us.",2
KGZujvnEfhT2V-tO-Qc3iQ,"The service department is a complete disaster. What's the point of having an appointment if you're going to tell me the it's going to be a few hours?! I dropped my car off at 2:30, was told to wait for a courtesy ride, waited for an hour, no one came, called an Uber. At 6:30 I had to call them to find out what was going on, was told they would call me back. No call back. WTF?! No I'm without a ride until at least the morning. And all I took it in for was an oil change and some pretty basic service. This will be last time using AUTONATION Ford.",1
swBmjvUDn4cfFXBPMCjYvg,"Do not eat here if you are white!!!  I visited this restaurant with my mother last night around 930 pm and left the restaurant by approx. 935 after hearing employees conversing about spitting in white peoples food! After leaving, I still wanted steak n shake so my mother suggested we go to the location on fowler ave and I am glad I did because the experience was like night and day. Employees were primarily black at this location as well but they were all extremely nice, hard working and provided excellent service with a smile! I didn't feel welcomed from the minute I walked into the door at the Hillsborough location and that was confirmed pretty quickly but the fowler location welcomed us with open arms and treated my mother and I with the respect and care that everyone deserves!",1
