sample_id,review_id,text,stars,llama_agg_pred_stars,llama_agg_reasoning,category,lr_pred_stars,lr_pred_confidence,svm_pred_stars,svm_pred_confidence,nb_pred_stars,nb_pred_confidence,bert_pred_stars,bert_pred_confidence
1,WqqXEBv4H7OAVq4tJmHe_g,"Sometime I get on these health food kicks other times I get on these, ""om nom nom... Me want food kicks."" That day I was in the mood for something healthy. So, I opened up my handy dandy Yelp app. and searched for places nearby me. As I scrolled I saw various Mexican food places, Chinese, sandwich etc. Nothing that really caught my eye until I came across Laughing Planet. With a name like that, why the heck not?! 
I punched in the directions in my gps then was on my way! When I arrived parking was a bit difficult to find as it was very busy. 
When I walked in, I was surprised about how big the place was. The menu was a little intimidating only because there was many selections, I was on a time crunch, and an unexpectedly awkward first date. 
I went with a curry tofu bowl. It was delicious. Tofu at least for me has been difficult to get just right, but the outside was slightly crunchy and the inside was tender. Just how I like it! Each bite burst with different, distinguishable, robust flavors. 
I would definitely recommend Laughing Planet for my health conscious friends, and if in the area, will definitely come back!",5,4,"The review text expresses a positive sentiment towards Laughing Planet, with the reviewer enjoying their meal and appreciating the variety of options. Although the majority of the models (LR, SVM, NB) disagree with a predicted rating of 2, BERT's prediction of 4 stars with a higher confidence aligns with the overall tone of the review. The reviewer's enthusiastic language and recommendation to others suggest a 4-star rating is more fitting.",error,2,0.3091886360723282,2,0.4003813597097048,2,0.2661704298197058,4,0.765625
2,Ax5m7PW9mKw0nZjMkyNBOw,Today I visited this place with friends and young man (Young white guy) was standing in front seating people. He was very rude and not friendly. Then he just up and left us standing there without being waited on. Because I was bringing food back to others I went on and ordered my food when someone else came and waited on us.  Someone like him can spoil your meal. The food was good but they way he treated us has halted me from returning. I don't spend my money where I'm treated badly,1,1,"The review text expresses strong negative sentiment towards the service, citing rudeness and poor treatment by a staff member, which overshadowed the good food quality. All four models, BERT, LR, SVM, and NB, agree on a 1-star rating, with BERT and SVM showing higher confidence, indicating a high level of model agreement on the poor experience. The consistent model predictions and the reviewer's explicit statement of not returning due to bad treatment support the final 1-star rating.",consensus,1,0.3734637436907552,1,0.5681767859355603,1,0.3965040057290346,1,0.5546875
3,zOfStzWRG_5psknTBGG5eQ,Our waiter brian was very rude he said no water and leave he over charged me and a friend 1 FRGGIN FRIEND with grituity Like rlly? He wanted us to get out BEFORE finishing our food...  coustomer satisfaction is not first HORRIBLE,1,1,"The review text expresses strong negative sentiment, with the customer describing their waiter as rude and citing several instances of poor service. All four models, BERT, LR, SVM, and NB, agree on a 1-star rating, although their confidence levels vary, with BERT having the highest confidence at 0.8671875. The unanimous model agreement, combined with the scathing review text, supports the final rating of 1 star.",consensus,1,0.5512768343922607,1,0.7563495138146026,1,0.4903302591347187,1,0.8671875
4,_aP6wIKrF-FFsV5SWSGOLg,"This is my favorite place to eat in all of Philly. Over the past few years,  I've tried almost everything on their menu and it has all been fantastic. My favorite is the pulled pork with broccoli rabe and sharp provolone. The brisket is also mouthwatering. Stop by... if you get lucky you'll get seat or the long line will move quickly (Don't fret, the long line is a testament to how great the food is).",5,5,"The review text expresses extremely positive sentiment, with the reviewer calling it their favorite place to eat and praising multiple menu items. All four models, including BERT, LR, SVM, and NB, agree on a 5-star rating, although their confidence levels vary, with BERT showing the highest confidence. The strong model agreement and glowing review text support a 5-star final rating.",consensus,5,0.4462242423848222,5,0.6706228664293099,5,0.2951033549702087,5,0.94140625
5,ed3VkIwrR6Y0TaR_ZvTw7A,"This is your really basic pizza joint, what another Yelper described so memorably as a great place for pizza late at night when you're drunk. That sums it up: if you're sober, this may not be the pizza experience that you write home about. Also, despite what some other Yelpers have said, I didn't get a warm welcome from the counter person. There was a yuck factor (the kind of thing you don't notice drunk): the chairs had a stickiness to them, resulting in my Deputy Yelper's tip admonition: ""Don't sit down. I repeat, don't sit down."" I dare any pizza lover to stop in here without being haunted by the thought that Nomad Roman Pizza is just down the block.",2,2,"The review text expresses a generally negative sentiment towards the pizza joint, criticizing its cleanliness and service. All four models, BERT, LR, SVM, and NB, agree on a 2-star rating, indicating a strong consensus among the models. The consistent model predictions, combined with the reviewer's unenthusiastic tone, support a final rating of 2 stars.",consensus,2,0.2921513958385815,2,0.4120435953278242,2,0.2875956987793273,2,0.5234375
6,UdBVztJ1u4zU1h2ELXTXqA,"These guys were great.  Highly recommend. Showed up on time. Worked efficiently - didn't waste time, were clear and honest about what they could/couldn't do.  We'll continue to use in the future as-needed.",5,5,"The review text expresses a strongly positive sentiment, praising the service for being on time, efficient, and honest. Most models, including BERT, LR, and SVM, agree on a 5-star rating, with BERT showing a particularly high confidence, while NB is the only outlier with a low confidence. The overall agreement among the models, combined with the text's enthusiastic tone, supports a 5-star final rating.",consensus,5,0.3599985039705092,5,0.6943955213358768,1,0.2605416524452749,5,0.9765625
7,Vgs8kovTk7egQH_7pDWYHg,"I am in Tucson for business, and thought I'd try this place out. I ordered online. First, they only deliver until 3pm. I was exhausted and didn't want to go out somewhere to eat. So, I ordered even though I don't eat dinner that early. I ordered a cheese steak sub, and salad. The ""salad"" was all lettuce, one cherry tomato, and three pieces of cucumber! For the cheese steak, there is not a good description of what you can get on it. You could choose sauce or no sauce. Now this is a cheese steak, so I am thinking it must be some kind of cheese sauce, or mayo type of sauce. Nope it was a red sauce, like the kind you would get on a MEATBALL sub. This, to me, is very odd. So, after I ate some of my lettuce and some of my sub, I went back to the menu. I thought, well, maybe I didn't see the description of what was on the cheese steak, or maybe I chose the sauce and didn't read where it stated what type of sauce. Nope. There was no mention in the description about any type of sauce. Nor was there any mention of what the sauce was where you can choose if you wanted it or not. I don't know if this an Arizona type thing, but it was very disappointing. I was looking forward to a nice steak and cheese sub, with some kind of extra cheese or mayo sauce. Instead, I got what tastes like a meatball sub, minus the meatballs. I did get two free chocolate chip cookies, which were DELICIOUS!!! I might give them another try. But there really should be more explanation of what the sauce is that you can opt for. And more toppings to the salad.",2,2,"The review text expresses disappointment and frustration with the food, particularly the cheese steak sub and salad, which suggests a lower rating. While models LR, SVM, and NB agree on a 3-star rating, BERT's prediction of 2 stars with a higher confidence level aligns more closely with the negative tone of the review. Overall, the reviewer's negative experience and the model evidence support a 2-star rating.",override,3,0.3170322677989914,3,0.4562186951279881,3,0.3085717542182848,2,0.5078125
8,vhKbETD4PTmIZ2DzTL_Olg,"My kids have been in daycare since they were 6 weeks old. I enrolled both of my kids (now 1 and 3) at Kids R Kids because the daycare they were going to had closed. I never found the staff at Kids R Kids to be very friendly, or nurturing towards my kids. Also, the teachers were unable to tell my children 'No'. I am all for 'redirection' learning, but if my child is drawing on walls, I feel that they need to be told that is isn't okay to do that, and tell them 'No'. My kids only went to Kids R Kids for 4 months, during these 4 months my kids became pretty wild. They stopped listening, everything was a fight, we were late everyday - and yes I know, they are 1 and 3, but it was absolute complete chaos! It was outside of the norm of chaos. Kid R Kids has the Watch me Grow system, so I was able to watch my child during the day. Every day they have their learning activities and all the children will sit in a group on the carpet, instead of my child participating I would see my child be redirected to the classroom table practically every day, because they wouldn't just tell her to stop acting up, sit down and listen. Instead they would redirect her to the classroom table with a book (of course she is unable to read by herself because she is 3). So she wasn't able to participate in the learning activities. 

As we are working parents, this daycare center just wasn't working for us. So I pulled them out and moved them to another daycare center. I have waited a of couple months to write this review, but in the last two months my kids are doing so much better, they have respect for others again, they are listening, we are back to the normal chaos, and we are never late anymore. After the first 3 weeks my 3 year old was at their new daycare, she even said to me 'Mommy they don't sit me down to read books by myself anymore' - SERIOUSLY I could not even believe that she said that to me! It breaks my heart the way they are doing business at this daycare center. Kids R Kids is a place where they are just running a business, I don't feel that they actually give individual nurturing attention to the kids that are there. 

A few additional things that I didn't like... 
1. About 90% of the time I walked in to pick up my kids the reception people would never make eye contact. 
2. They always forgot I had two kids, and they could never remember who my kids were when I asked them questions. I'm sorry, when I am paying you $400 a week, I feel that you should at least know who my kids are. 
3. They feed the kids a lot of junk food in the afternoon. I buy candy and cookies, but every day they would have cookies, brownies, pop tarts... just not the healthiest place.  
4. It also didn't seem the teachers in my kids classrooms could think for themselves, the front staff seemed to make all the calls, which I did not like because they weren't the ones actually in the classroom every day with my child. An example, one day I dropped my 3 year old off, she said she didn't feel good. She didn't have a fever and didn't have any symptoms.  I asked her teacher to call me if she didn't eat her morning snack or her lunch, and I would come pick her up before nap time. Well when the time came for her lunch and they didn't call me I felt everything was just fine. Well then front desk called me at 3pm and let me know she hadn't eaten all day. It took them 3 hours to call me. I was so infuriated! Complete lack of communication because the teacher was unable to call me herself, and 
5. My kids got Hand, Foot and Mouth... I know this can go through all daycares, but... it is weird that I was warned about it from a friend before my kids attended Kids R Kids. 

I do not recommend this daycare to anyone. I went and checked out a pre-school for my 3 year old and they were more personable within the 20 minutes I was there taking a tour than Kids R Kids ever was in the 4 months my kids attended. In 4 months we just had way many problems.",1,1,"The review text expresses strong dissatisfaction with the daycare center, citing issues with staff friendliness, communication, and the overall well-being of the children. The model predictions, with the exception of BERT, agree on a 1-star rating, with high confidences from SVM and NB, indicating a strong consensus on the negative sentiment of the review. Overall, the evidence from both the text and the model predictions supports a 1-star rating.",consensus,1,0.4713713993449377,1,0.5338568130818676,1,0.5786575234953693,2,0.478515625
9,E_1DvV4SIFoK0HSgeaoUiQ,"This place has everything. Beer, music, pinball, a photo booth, live music, a cat and of course.... waiting to use the bathroom for 5 minutes only to see two gentlemen exit shortly after one another from said restroom. Weird right! Oh well, at least the honky tonk was playing, the booze was a flowing and the arcade was warm. 
Be sure to pop in for some tasty jams and a crack at the Rob Zombie House of a thousand corpses pinball machine!! Rad!",4,4,"The review text has an overall positive sentiment, with the reviewer mentioning various amenities and activities they enjoyed, such as live music and pinball. Although the LR, SVM, and NB models predict a lower rating, BERT's prediction of 4 stars with a relatively high confidence aligns with the reviewer's enthusiastic tone and outweighs the disagreement from the other models. The reviewer's criticisms are minor and do not seem to significantly impact their overall experience.",override,2,0.2398145921178874,2,0.2932223704707084,2,0.2401287843545203,4,0.67578125
10,oO0MiMsg2x760NFjCtzLRA,"Staff was very nice, had the game on so that was a plus. My boyfriend had teriyaki chicken with fried rice, 5/10 overall but it was not flavorful. Tons of bland rice and hardly any chicken. I ordered Steak and green peppers with fried rice. I feel bad writing this because the woman was so nice when I told her I cannot eat it.  It was the most horrendous plate of food I have ever tasted. I actually had to spit the one bite of steak into my napkin. Rubbery, plastic tasting, bitter, disgusting texture. The sauce it was slathered in was literally repulsive. I nearly threw up. I didnt eat more than 2 bites of the fried rice, it was also gross. 
I wish I had decided to order sweet and sour pork, lesson learned. We will not be going back here regardless.",1,1,"The review text expresses strong negative sentiment towards the food, with the reviewer describing it as 'horrendous' and 'disgusting'. The BERT model agrees with this assessment, predicting a 1-star rating with a relatively high confidence of 0.703125, while the other models predict a 2-star rating but with lower confidences. Overall, the text sentiment and BERT's prediction suggest a 1-star rating is most appropriate.",override,2,0.3365157351159301,2,0.4831511074509123,2,0.3264979297753261,1,0.703125
