review_id,text,stars
wn7aONhHkjdHDcqaAJnFqA,"This review specifically applies to plumbing department. Heather Garcia was the best but she left a few years ago. The guy that is there now is nothing like her.

Pros: Can't beat their prices
Cons: with who you have there now, too many cons to list. My advice, do all the research yourself down to the product number and all accessory parts! That's the only thing that saved me. I literally had to walk him through every item, giving him the product number,  making sure he entered to correct color! Not a joke. He was not at all comfortable using the computer. He even told me he had a client with a $10K order and the order was messed up and he. Lamed it on the computer system. No dude-  it was you! You had a difficult time entering my stuff- don't blame it on the computer.

If you choose DW because of the price, just realize you will need to do all the work yourself. Go to other places where they really know their stuff (Ferguson, Capital Hardware). Don't expect that kind of knowledge from DW plumbing department. Unless Heather Garcia comes back.

Good luck!",2
rulHcQY5g6oi-v106azmiw,"Oh man, this hurts. I love (or loved, to be most correct) iTap but my most recent experience reminded me that indifferent service will probably result in a dispassionate experience. And when the majority of patrons you're encountering are passionate about their beer, well let's pour some passion on their sugar. Know what I mean?

Def Leppard-like references aside, love bites because sometimes, it ends. When my brother asked for the Boulevard Tank 7 saison beer (my recommendation), I noticed he didn't seem to be enjoying it as much as I expected he would. ""Try this,"" he implored my cousin. Two seconds later, my cousin admitted he didn't care for the beer as he's 'not into hops.' Hops? What? My beloved Tank 7 is a saison. As in, low in IBUs (international bitterness units). It's dry, light in color but full in flavor and straight up DELICIOUS. But hoppy? That, it's not.

I decided to get to the bottom of things and without seeing the bottom of the pint glass, instantly realized my brother received either the wrong pour or maybe the keg had just been switched and we were tasting the previously-parked beer. In any case, my brother informed the bartender and she tried the beer. She then had the other bartender try the beer. After several minutes of deliberation they arrived at the conclusion that indeed, the beer did not taste like Tank 7. ""And? Can I please get another beer since it isn't what I asked for?"" Long pause. ""I'll have to talk to the manager to see if it can be taken off your bill.""

Just get the kid a beer. If you're having problems with the lines and can't deliver the product in the quality as intended, (nicely) offer him a replacement beer. On the house. Instead, the attitude was free and the replacement beer turned out to be a pain in the ass to get.

Sorry, but you can keep the attitude and I'll take my friends, money and love for great craft beer somewhere else.",3
S8Nl1s2aBxAQffXHe7mH7A,"Customer service is hit or miss. One morning in the drive thru I had ordered a tall coffee in a grande cup with extra milk, which is pretty much my standard order at every Starbucks I go to in the colder months and it has never ever been an issue. The barista gave me a really hard time about it and wanted me to pay for a grande even though I only wanted 12 oz of coffee. She told me the policy was to charge for more than 4 oz of milk. I worked at Starbucks for a few years and this was never something I had heard of. Regardless, I wasn't asking for 4 oz of milk, maybe 3 at the most if it was filled to the standard amount in a grande cup, which I can tell you is not actually 16 oz. I ended up just getting the tall black coffee since clearly she couldn't be bothered to talk to me about it anymore. 

When they do have nice people working, it's a great experience. They usually make my iced coffee perfectly.",3
eeO-yxKV43tQ-9v0gi5a1A,"Hmmm tough resort to rate... All the good reviews and bad reviews are right ..

Location 5 stars
Beach Access 5 stars
Cabana Bar 4 stars bartenders know how have fun, they do close early though ..
Rooms 3 stars (We had a gulf view) you can tell they have upgraded the kitchen and bathrooms, everything else dated and a little run down
Hallways, Stairs, elevators 1 star kind of nasty and very loud at all hours.. (Especially stairwells-scary).

Kind of place if you're young or on a budget you can over look a lot. If you are accustomed to above average accommodations you should avoid. Reminds me of the Flamingo in Vegas.

Business photos are highly misleading.... Good Luck",2
xZpG0HYJAz4PayykqfF-lQ,"Save yourself the headache and humiliation!

Made a reservation for a Saturday night. Turns out he doesn't stock bottled water- problem already... I ordered a veal dish, and my wife linguine with clams. While sitting and waiting for the meal the owner (that's right- the owner is a waiter there) never once refilled our beverages, never cleaned the table of all the crumbs. When the soup finally came out, it was bland veggie soup that anyone could get from a can. When finally after quite some time our entree's came, I saw my wife picking out what I thought were pieces of clams... but NO! they were giant cloves of garlic that were so abundant, she could barely eat the pasta at all. When I called this jerk over, he said (and I'm quoting here)- ""what do you want? you're in an Italian restaurant!"" with an attitude like I've never encountered when eating out. They he proceeded to add ""you know- I don't put this much in, people complain, I put this much in, people complain- you know it's Italian"". At which point I was vexed and fired back- ""That's your explanation? You've got to be kidding me""- Grinningly he replied- It's how we make it. 

What a dick. Never again. Plus the food sucked- I make better at home.",1
LxaDyb3FXcN6TN3ssW0F3Q,"I Called at 1:00 am for a ride, was told it was on it way( i live 7 minutes from Ardmore). I called back at 1:30 to find out when the cab would arrive, was put on hold for 7 minutes.  I hung up and called back- no answer.
At 2:47 am I called to the cancel the cab, the dispatcher said"" not a problem, I've got you covered."" I don't think that means what you think it means....  Awful, Awful, Awful.",1
CYLb6ZFrPah--mT5f8z9gg,"When you want to be ignored, this is your place! I honestly have never been ignored like that in my life. I walked in with my mother and right away someone greeted me and asked me if someone was helping me. I kindly said no and she said someone will be with me. I was happy and I proceeded to look around. For about 15 mins I waited and again someone else asked if I was being helped and I said no. The only thing this lady said was tell the stylist to take you upstairs to where the clearance dresses are. WOOOOW. I didn't know that just because I was Hispanic that I didn't have money to splurge. I was crushed. So I sat with my mom on a couch that was in the front of the store and all I saw were people walking in the store and straight to the back like as if there was a party back there. Everyone was being helped right away and I felt like I was missing out on something. My mother and I sat on that couch for more than 20 mins and I felt like I wasted my time. I walked out not only without a dress that I possibly could've gotten, but angry and as livid as a Hispanic can be.",1
LeNkM8Piv9SWyqMWHmm6bg,"We had irrigation repair done by Action Lawn & Landscape. Their work was great and they were able to solve our problem. I would love to be able to give them 5 stars for their work. Their office staff were super helpful and gave answers easily.
 
It is only 3 stars because of the customer service with the employee we worked with. He promised us quotes and completion of work and did not follow through without us messaging and calling. In the end, we were without water for 24 hours with no prior notice and were expected to pay more than was on our original invoice. He said that we were ""told"" about the water being shut off and the additional fees. These were both communicated at the last second without any notice. Poor customer service on his part is why I am giving 3 stars and am not recommending this company to other people.

-Written by Victoria Kenney",3
Ue2uscVsshbE-82l5f0cGQ,"Located right in the middle of the CBD is this little GUMBO-like convenience store/mini-mart. Hot chicken, which is what they're famous for, alcohol, beer, bleach, water, toothpaste, cooking oil... I mean if you need it, it can probably be found here. 

The location of this convenience store is great, especially for hotel guests. I mean how many times have you checked into a hotel & realized you needed something the hotel didn't provide? Well if you're near this mini-mart, you can grab it go. That's a plus. And they're open 24 hrs, so you can get it whenever. 

And considering they're in the heart of the CBD, I don't find their prices to be as high as I thought they would be.",3
DG7r45QDoW7mgcrlDuvqLw,"Tale of two visits: first time service was quick and food was great. The enormous cinnamon roll was particularly tasty. Second time we were waiting about 30 minutes for scrambled eggs, toast, and bacons and just had to leave. They had not started making it yet when I asked to pay for coffee and tea. Very disappointed.",2
O74pvfiF-xpLHARfPdzlKw,"Came here for a romantic dinner with my husband....I will start with the highs, really good chocolate dessert and yummy lobster Mac and cheese. Now for the lows.....1)ambiance is terrible inside (it's extremely loud and nearly impossible to hear from across the table without speaking super loud)...2)our cioppino was extremely salty  with most of my mussel shells being empty, this experience was topped with 3)an inattentive server. Waited about 15 minutes before the server came over to the table after we were seated. No warm greeting or apology for the delay. He didn't have any recommendations for us nor did he go over the chef's special. He comes back in another 10 min and we get stale tasting bread with olive oil/seasonings served to us :( Absolutely terrible...and inedible. Our dishes come out in a reasonable time. The server never came back to ask us how our meal was or to check if we needed anything. He comes over with the check and I asked to also order a dessert to go (we didn't want to spend anymore time inside than we had to). For a nicer restaurant option, I was definitely expecting excellent service :( hopefully this was an off night and not a reflection of Hyatt's standards.",3
34oLKKdiq6jKmit_CqkEMA,"DESPICABLE!

My husband was referred to this office for a root canal. He had his Member ID card in hand but he was also asked for his Social Security Number. My husband told them no, he would not provide his SSN. 

The office staff informed him that this was their policy and if he wanted treatment, he would have to PROVIDE HIS SSN OR PAY IN FULL OUT OF POCKET. 

He was in a lot of pain and didn't want to deal with the hassle of finding another provider, so he paid $974.00 out of his own pocket. 

Advanced Endodontics then FILED THE CLAIM with the insurance for their TOTAL fee of $1,425. The provider discount was $439 leaving a balance of $986, patient portion being only $226. They now owe us $748. As of today, they claim to have mailed it.

What kind of office ""policy"" forces a patient who is in pain and has PROOF of insurance, to forgo their desire to protect their personal information or PAY IN FULL.

They should be ashamed of themselves.",1
hTkesn9TS0NTi8tRAEFtfA,"This place has a serous problem with estimated wait times. I was told I would be seen in 30 minutes or so and it's now been 2.5 hours and they have no idea how much longer. The staff does not seem interested in trying what so ever to give you an estimated time and their sympathy feels forced, if they do not know they should not say 30 minutes. You are given a pager but truly if you are at urgent care it's not likely you feel like browsing around town window shopping or what not though as the only positive I thought I should mention it. The nurse taking vitals was nice too.",1
Jad2kS_kQrjIZbEKK7Wy5Q,This place was horrible I ordered the veal cutlet Poe boy & it was like 2 week old fried shoe leather I took two bites and threw it out. Unfortunately I couldn't ask for a refund because we picked up take out . Neve again,1
3XtpMdh8dl4AEZCBFsD97g,"A bit of a wait since we had a party of 8 and it was Easter. We didn't mind and they were super apologetic.
Had a delicious grilled cheese (Sara Joe's), tried the beer biscuit, pancakes, everyone at the table was happy. Owner is super friendly, good prices, took a bunch of pies for later. If you are in the area definitely stop by for breakfast or lunch.",4
0h9VPsnuMLKu7QRoAgVQ6A,"This is an upscale artisan market with restaurant/coffee shop inside.  The ambiance is great.  Staff are helpful.  It is counter order style and then they bring you your food to your table.  There is indoor and outdoor seating which is nice.  The courtyard is shaded and it is nice to sit there in the mornings.

I had the tamale breakfast which was a deconstructed tamale.  This was delicious and not too heavy.  The poached egg was a nice combo with it.  The avocado was fresh.  A very tasty breakfast for sure.  

 Good place for breakfast.",4
Y3tc5ZmNB-WshdoCU-NHJA,"Now I'm not sayin it was....and I'm not saying it wasn't.....but I ate at Mixto on Tuesday afternoon and had a stomach bug something mighty fierce on Tuesday night. Add that to what I thought before my face was in the toilet (atmosphere = good, waitress = attitude, food = blah), and I surely won't be a repeat customer.",2
rV0RS-tNqbGZQEj1hkTO3g,"Pretty darn tasty! gf and i went today for lunch around 1 or a little later. It was super empty, only one other table, so the service issues other people have mentioned were not in play. it's cute and clean and i like the low key decor, such as it is.  The server was very nice and friendly. We ordered a rice and a sesame naan to share, and got a chicken tika masala, aloo gobi (potato/cauliflower) and bhindi (okra). they were all really good, and the bhindi was awesome -- i am not always an okra fan but this was delicious. there's just enough left over for small lunch tomorrow, bill was $22. will definitely be back for more!",4
m_nBMCb5uLabVkjTWik-0Q,WHAT AWFUL CUSTOMER SERVICE. at all cost- do not ever get the home delivery- we're now on 4 days of no couch and customer service has done nothing but kept us on hold for hours at a time and had no answer for us to where our couch is or when it's being delivered after false promises of same day delivery. Very upsetting.,2
CdAoVizh1M8Ot2RgwshxBA,"I try to give this place a chance because it's across the street from my job. However I've never had a good experience with the food. My egg is either burned, or the biscuit isn't cooked all the way. This time there was MOLDDDD on my biscuit. 

I called to let them know and they were happy to give a refund.

Great service, great coffee, but food definitely needs more work/attention.",2
